	tweet_id	user_id	text	label
170	7700110248	15858785	@mmmeghan lies. Call me!!!I'm taking a nap.	0
360	23123054279	153413422	Ok	0
956	9373956897243138	68906938	@daHOMIEjrod i aint into missing out on what i do	0
1	13328337611001856	153413422	;)	0
137	55409490136276992	149236129	@IvankaTrump had a great time with you at @NCSY project jump today!	0
475	74748176409698304	279207613	It's Sunday, the day I head to the bottom of my garden and thank the pixies for their gift of creation. #faith #bible #stupidity	0
486	87132288860684288	283043404	@Bustomi_19 ka bustomi  mang ada acara apa di bundaran Hi	0
476	101062952479752192	279207613	@willharper Why would you RT the utter nonsense spouted by the fraud @RickWarren. Ask him to show you 1pc of evidence for his God. #atheist	0
1774	104390998863527936	15858785	Young Guns..	0
1746	111202287409565696	149236129	"""@druidDUDE: 2 weeks until Glee's back on!! ahhh!!!""Yipee!"	0
2930	125455566121340928	23737804	Thinking	0
434	133755196072394752	59258504	@Mike_Jung ((((((hug)))))))):)	0
652	154022432414502912	34111593	"@CockerDave I was at that Southampton game and thank God the MOTD cameras were there to remind us how unbelievably good ""Dirty Leeds"" were."	0
2282	154189306834071552	19188576	WINDS WILL NOT STOP THE (((((VOCALISATION))))) http://t.co/YQucARLL	0
149	158724444108505088	153413422	A lie ain't nothing to tell....#childish	0
1984	159485782770462720	243784731	STORAGE WARS...YuuuuuP!!!!........Its Kaotik	0
2371	162953401469120512	46702231	"rt“@AWiggles10: ""He's what you want, I'm what you need""”miss u"	0
788	168187792646619136	46702231	Got tickets for the next knicks game :-)	0
269	173541215571165184	206374267	Cats have dinosaur eyes.	0
268	175075577638830080	206374267	What would your cat name be? #cats	0
807	177965689628393472	475480828	@Pink   pain, in any form. movin forward!! :)	0
2280	182426549298003968	376979456	Dear NHS, as service that promotes health and wellbeing your inability to give me an appointment is ironically making me increasingly angry!	0
2443	186476376214351872	542573576	@DontTreadOnWill Thanks for the follow! @(^_^)@	0
1758	190069840948633600	153413422	@MCGILVERYF morning!!! ;-)	0
1232	191442328332943360	140680267	(((Besok bubar - pahlawan bertopeng)))	0
114	196963168373833728	140680267	Gak ada ak gak pernah kunci kalo abis latianRT @Murdana: Ada koe bawa kunci studio??? RT @gilangcrowd: Tar weekend pakyan. Cenik gae it	0
901	206446882887708672	574690173	Buying the girls clothes for summer, they both love camp at the JCC and can't wait to get started.	0
2451	214409293565403136	543872832	@01BOND I think it just feels awkward, ya know? My own step dad who I re-connected with in December didn't even acknowledge my card...	0
777	221849453856948224	457164726	Ain't nothin' but a gangsta' paaarty	0
249	231567916422803456	192287528	@Mo_Cherii Awww man u bout to b one a da ppl I'm gettin out of lol LiLLaMoMo24 lmao	0
202	233047577162035200	16717658	@MTarro @whiskerfuffle We don't live in Independence anymore.	0
4	239470066222129152	38047165	:/	0
