id	username	text	label
39df38e04a44423f93ba1d1dc79070c9	Innercity51042625576257	Pelosi; One way or another Joe Biden will be President.	0
9503e349140b4bbe9e496f4c0f15f830	Jayman2124	Whistleblower claims top DHS officials sought to alter intelligence assessments to fit Trump's comments	0
61b45f2913bd44a8956ee87cc651cd40	Rob0303	"LISTEN IF ANYONE DOESNT LIKE MY POSTS OF ME CALLING OUT THE CROOKS AND DEEP STATE!! I DONT CARE WHAT YOU THINK!!! UNFOLLOW ME OR SHUT THE FUCK UP!!!! IF YOU CANT HANDLE THE TRUTH AND WANT YOUR VOTES AND MONEY CONTINUE TO BE STOLEN DONT LISTEN!!!!

THESE CRIMINALS NEED TO BE EXPOSED!!!!

DONT LIKE TOO DAMN BAD!!!!!"	1
141482eeee684715a2f94aa8240b79bb	bluesman57	Black Chairman of Proud Boys Speaks Out after Liars Joe Biden and Chris Wallace Call Them White Supremacists	1
4e4fdf2e34224691ba72860c1af730cd	Goosebur	This is why you build the wall! Democrats are ignorant. #MAGA2020 	1
cd1f69ffd35a4a28b7983fa400cb941b	BluGurlDeD	Mask police have no respect from me. off, they are not Americans. Let them know how you feel about them if they try to give you a ticket, or worse. They dont deserve our respect. their families, get a job elsewhere...!	1
1f48b219177c4f65837d00cae6ecd96f	J_onyx29	US Military Says It Killed Terrorist Leader Who Plotted Kenya Attack	0
fa08b4c9573e43bab2a2700ecb25e1d8	chrisburnettmv	So tired of all the leftist shite. The UK is finished. At least Americans could declare their stateindependent and run the vile bastards out of town. They are not worth living with.	1
fe7b061375e945d2b21a58a3aae9ceee	classicalBias	Looks like is down to Europe to save the world from Globalism.......  we're fucked.	0
4f3ee644bdaf4eda96d51206aa812dc3	Sherildavis41	"If a man speaks or acts with a pure thought,
happiness follows him, like a shadow that never leaves him.
- The Buddha"	0
f0703074ebbc47818b48e3a9b4bd4380	Royalbeanie	"ER of Rand Memorial Hospital in Freeport Grand Bahama,
Patients evacuated
 ... its always the surge"	0
a99050e7c1fd457cbdf918973724e8ff	JimLin	Senate Acquits Trump on Both Articles of Impeachment	0
8c03020fc9344a1982a71409bd869719	MikeBoice	"Ya can't make this up !
Former Obama Vice President JOE BIDEN Is Now WANTED ON CLASS A FELONY CHARGES In Ukraine"	0
4b57671147f5464abf77a74184c83da7	Stevepenniesmith	The CDC adds the new symptoms of covid-19. Gunshot., stabbing, and strangulation	1
3b685abfd029449ea118e970263fb5ba	Jetsgurl46	Facebook deceived users about the way it used phone numbers, facial recognition, FTC to allege in complaint	0
8090c33c1105481f864f67f4acda9931	JamesPalm58	"STIMULUS BILL SHOULD BE ONE PIECE OF PAPER! MAYBE
TWO! INDIVIDUAL AMERICAN CITIZENS GET 2,000 CHILDREN 1,000 SMALL BUSINESS OWNERS WHATEVER THEY NEED! 
EVICTION RELIEF! AND SPECIAL PROTECTION FROM
UNREASONABLE LAW ENFORCEMENT ACTIONS!"	0
bc2a6cf25d104ab1b895f7f750c86596	applejack	[Christ Jesus] made himself nothing. Philippians 2:7	0
4d6a10d543824bd090a49804ac372e57	WETHEPEOPLEMATTER	WE THE PEOPLE MATTER SLEEP ON THAT AMERICA.	0
a8c557bbf70849aa9fed0d2217fdd5a2	redhead4645	Here is a message for Juan Williams! Joe Biden is a racist creeper! If he becomes President because he is so racist he would turn you pure white! Juan Williams was fire from the NRP and Bill OReilly sadly for us, Gave him a break on Fox!	1
915e14c35d5d464fb4cf64a80be289b7	mercylong2020	Thank you Senator Jensen !!! Excellent !!!	0
72a22ddb1ae840b39b5a4359901ed1b4	MarkWhitfield	"PAIN COMES TO THOSE WHO DICTATE.......
Q SENT US.......
WE ARE ALL ABOUT TO FIND OUT WHAT WINNING IS ALL ABOUT.......
WWG1WGAWW       "	1
1e97b12e04fd40ea897ea0fec1c1110d	Pryder	The left are fkn ugly ,they call Trump supporter's deplorable stupid dumb red necks seems these stupid dumb rednecks have their prez in the WH and a majority in the senate so you tell me who are the dumb & stupid ,,, DICKHEADS	1
35d2a80bef014478a2dc4b752e31eba6	Basina33	"I just listened to a great podcast on the Rush Limbaugh app 
 
 
 
Cuomo is a KILLER! He shud be removed from office! If my mom had died in a convalescent hospital of the CCP VIRUS b/c of this incompetent baboon, I would not stop going after him for his murderous order sending Covid virus contaminated Pts. back into the Nursing homes. AND he is not the only stupid Blue State Guvs who did this! Wake up America our lives mean nothing to these DemonRats"	1
991dbab436b54d9b829df42f002748a1	doutingthomas1	Now the blacks not only want welfare, free college, free healthcare, free housing, free food, free clothes, free transportation, free tampons, but they want the white mans money. Wake up and smell the dog shit. If you worked as hard at getting a job as you do to get everything for nothing, you would have everything mentioned above and be proud you earned it. At this point you have not earned it, sorry. This is all about the angry black Congress. You know the ones I mean. And the Cripster Lazy Al Sharpton	1
6a5c4ca0f6d04245a5ccdbaa85e25b11	Sammynoor11	"Illegals No Longer Evade Capture. They Want to be Caught. But Why?
Because they get food, shelter, healthcare, and welfare and Vote
It pays to be illegal in America."	1
524decf883c44ab0910c7fa92c2ebaa0	MalcolmOutLoud	"Law Enforcement Suicide, Health Issues Both Medical and Emotional are Taking a Huge Toll on Our Cops. 

It's on Podcast"	0
22282302d751424fa6a9d9a150485f96	Rednexican	Dan Bongino interview with President Trump!	0
d2695a23a3ee4b48865a37772532f53e	HalluxValgus	It's me Josh	0
602895972fa048bfbb27f6009482adf8	Bferngren	Interesting read, the cure already exists...	0
f995209440db47a595471aa77978dbbb	DocHoliday1881	"Very Moving !!.. 

I Don't Know How President Trump Stands Tall !!..

The Movie ""Walking Tall"" Was Dedicated To The Life Sheriff Burford Pusser Of Tennessee !!..

I Truly Believe President Trump Is Also ""Walking Tall"" !!"	0
1247a8d16f654207b966471a76ad1674	nevertheleft	Its not about the virus, Its about Obedience.	0
2120be390d02480ba91a41c6cc99d621	Mikewin	LISTENING TO CHUCKIE AND PELOSI ABOYT ISIS ! I SAY BOMB THE DAMN PRISONS KILL EVER SINGLE ONE OF THEM! ITS NOT LIKE THEY ARE HUMANS !	1
